Murray Collection Identifier	Alternative NCTC accession number (if applicable)	Strain name	Date on  tube 	Year	Genus	Designation	Origin	Colony variants (Canada) 	Original number	Date freeze-dried in NCTC 	Colony derivatives (UK)	Equivalence group	No. of plasmids	Plasmid A MW	Plasmid B MW	Plasmid C MW	Plasmid D MW	Plasmid E MW	Plasmid F MW	Plasmid G MW	16S rRNA ID result	MALDI-TOF ID Result	Positive Polyvalent antisera	Sequenced (see Table S2)
M397		F 337	22/01/1941	1941	Salmonella	S. sp. 	Stool/acute enteritis	Small variant	397 S	20/10/1980	"M395 S, M396 R, M397 S & R"	M281 M395 M396 M397	5	3.1	3.7	1.9	1.8	1.6						No
M398	13685	E 4563	20/10/1940	1940	Klebsiella	Kl. sp. Friedlanders	"Right antral washout, atrophic rhinitis, sinusitis, GIBBS"	Large variant	398L	21/10/1980	"M398 L & S , M399 L, M400 S "	M398 M399 M400 	4	100	50	42	28				Klebsiella pneumoniae	Klebsiella pneumoniae	N/A	Yes
M399	13686	E 4563	20/10/1940	1940	Klebsiella	Kl. sp. Friedlanders	"Right antral washout, atrophic rhinitis, sinusitis, GIBBS"	Small variant	399S	21/10/1980	"M398 L & S , M399 L, M400 S "	M398 M399 M400 	0								Klebsiella pneumoniae	Klebsiella pneumoniae	N/A	Yes
M4		Andrewes	03/08/1925	1925	Salmonella	S typhimurium 			4	01/09/1980			1	47							Salmonella enterica	Salmonella sp	N/A	Yes
M40		Sp. 505	17/06/1936	1936	Salmonella	S. sp. 		Small variant	40S 	01/09/1980	Both same size	M39 M40 	4	58	37	1.9	1.4							No
M400	13687	E 4563	20/10/1940	1940	Klebsiella	Kl. sp. Friedlanders	"Right antral washout, atrophic rhinitis, sinusitis, GIBBS"	Lactose fermenter	400LF	21/10/1980	"M398 L & S , M399 L, M400 S "	M398 M399 M400 	4	100	50	39	27				Klebsiella pneumoniae	Klebsiella pneumoniae	N/A	Yes
M401		Bact. 49225	16/07/1932	1932	Escherichia	E. alkalescens	Urine	Large variant	401L	20/10/1980		M401 M402	ND								Escherichia coli	Escherichia coli	N/A	Yes
M402		Bact. 49225	16/07/1932	1932	Escherichia	E. alkalescens	Urine	Small variant	402S	17/11/1980		M401 M402	6	54	8	6.2	4.8	3.9	1.7		Escherichia coli	Escherichia coli	N/A	No
M403	13688	E 4103	30/09/1940	1940	Klebsiella	Kl. sp. Friedlanders	"Pneumonia; Gardnier, Samos"	Opaque variant	403O	20/10/1980	"M403 S, M404 L "	M403 M404	ND								Klebsiella pneumoniae	Klebsiella pneumoniae	N/A	Yes
M404	13689	E 4103	30/09/1940	1940	Klebsiella	Kl. sp. Friedlanders	"Pneumonia; Gardnier, Samos"	Translucent variant	404T	20/10/1980	"M403 S, M404 L "	M403 M404	ND								Klebsiella pneumoniae	Klebsiella pneumoniae	N/A	Yes
M405		P B 27 	06/04/1925	1925	Shigella	Sh. sp. 		Large variant	405L	20/10/1980	Both same size	M405 M406	3	54	3.1	2.5								Yes
M406		P B 27 	06/04/1925	1925	Shigella	Sh. sp. 		Small variant	406S	20/10/1980	Both same size	M405 M406	3	54	3.1	2.5								No
M407		A 2339 - 7 	17/12/1940	1940	Salmonella	S. sp. 			407	20/10/1980			1	90										No
M408		44766	-/1/32	1932	Shigella	Sh. dysenteriae 2	Stool		408	20/10/1980			3	94	3.4	1.3							N/A	No
M409		NCTC 2285	02/04/1937	1937	Shigella	Sh. sonnei		Large variant	409L	21/10/1980	"Both the same, L and S"	M409 M410 	ND								Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella sonnei Phase 1 + 2	Yes
M41		52841	21/03/1934	1934	Coliform	Coliform			41	01/09/1980			5	58	31	3.2	1.8	1.3						Yes
M410		NCTC 2285	02/04/1937	1937	Shigella	Sh. sonnei		Small variant	410S	21/10/1980	"Both the same, L and S"	M409 M410 	7	52	5.8	4.1	2.7	2.4	2.2	1.7				No
M411		37476	30/12/1931	1931	Shigella	Sh. sonnei 	Stool	Large variant	411L	20/10/1980	Both same size	M411 M412	0								Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella flexneri polyvalent 1 - 6 x + y	Yes
M412		37476	30/12/1931	1931	Shigella	Sh. sonnei 	Stool	Small variant	412S	20/10/1980	Both same size	M411 M412	ND											No
M413		39960	30/12/1931	1931	Shigella	Sh. sonnei 	Stool		413	20/10/1980			ND								Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella sonnei Phase 1 + 2	Yes
M414	13690	M. C. H case	05/04/1940	1940	Klebsiella	Kl. sp Friedlanders			414	21/10/1980			3	62	31	18					Klebsiella pneumoniae	Klebsiella pneumoniae	N/A	Yes
M415		C 797 	17/12/1940	1940	Salmonella	S. sp. 			415	17-Nov			1	43										No
M416		CMH 5119	15/03/1936	1936	Salmonella	S. typhi			416	80		M416 M509 	ND								N/A	Culture not found	N/A	No
M417		Craigie type B1	09/11/1939	1939	Salmonella	S. typhi 			417	27/10/1980		M327 M417 	ND								Salmonella enterica	Salmonella sp	N/A	Yes
M418		D 386	17/12/1940	1940	Salmonella	S. sp. ? S. paratyphi C			418	27/10/1980		M259 M418	0											No
M419		57854	04/09/1935	1935	Salmonella	S. paratyphi B		Translucent variant	419T	27/10/1980		M282 M419 M492 M493	0										N/A	No
M42	13669	56289(4)	25/02/1935	1935	Klebsiella	Kl. sp Friedlander	Fatal case		42	01/09/1980		M42 M176 M665	2	54	32						Klebsiella pneumoniae	Klebsiella pneumoniae	N/A	Yes
M420		E4503	17/12/1940	1940	Salmonella	S. sp. 			420	20/10/1980			0											No
M421		NCTC 4785 (from original NCTC tube) 	12/08/1938	1938	Salmonella	S. eastbourne			421	20/10/1980		M138 M421	2	120	36						Salmonella enterica	Salmonella sp	N/A	No
M422		Sali Mustapha	-/12/35	1935	Salmonella	S. paratyphi C 			422	27/10/1980			1	38									N/A	Yes
M423		CMH 4345	12/11/1935	1935	Shigella	Sh. flexneri V Y and Z! 		Large variant	423L	20/10/1980	Both same size	M423 M424	2	130	1.2						Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella flexneri polyvalent 1 - 6 x + y	Yes
M424		CMH 4345	12/11/1935	1935	Shigella	Sh. flexneri V Y and Z! 		Small variant	424S	20/10/1980	Both same size	M423 M424	0											No
M425		56219 A 	25/02/1935	1935	Shigella	Sh. dysenteriae 1			425	27/10/1980		M337 M425 	ND										N/A	No
M426	13691	E 2143	14/05/1940	1940	Klebsiella	Kl. or Ent. aerogenes	Urine		426	20/10/1980			1	58							Klebsiella pneumoniae	Klebsiella pneumoniae	N/A	Yes
M427		NCTC 414 (disc) 	04/04/1930	1930	Escherichia	E. coli			427	20/10/1980			0								Escherichia coli	Escherichia coli	N/A	Yes
M428		Monkey 321	02/03/1932	1932	Shigella	Sh. dysenteriae 2			428	20/10/1980		M428 M442	6	94	4.2	2.6	2.3	1.1	1				N/A	Yes
M429		Bact. 49226 Wood	01/08/1932	1932	Escherichia	E. alkalescens	Blood culture		429	21/10/1980			7	54	8.2	6	5.4	4.9	3.9	1.8	Escherichia coli	Escherichia coli	N/A	Yes
M43	13670	53990	08/04/1940	1940	Klebsiella	Kl. sp. 	Pus from nasopharynx		43	01/09/1980			ND								Klebsiella pneumoniae	Klebsiella pneumoniae	N/A	Yes
M430		Mitchell	30/06/1926	1926	Shigella	Sh. dysenteriae 1			430	27/10/1980			ND										N/A	No
M431		NCTC 3082 (disc)	02/04/1937	1937	Shigella	Sh. sonnei 			431	21/10/1980		M431 M655	ND											No
M433	13692	46416	08/04/1940	1940	Klebsiella	Kl. sp. 	Tonsil		433	21/10/1980			2	50	26						Klebsiella pneumoniae	Klebsiella pneumoniae	N/A	Yes
M435		D 192 	17/12/1940	1940	Salmonella	S. sp. 			435	21/10/1980			ND											No
M436		43059	17/12/1940	1940	Salmonella	S. typhimurium			436	21/10/1980		M279 M280 M436	2	70	4						Salmonella enterica	Salmonella sp	N/A	Yes
M437		NCTC 4438 A (disc) 	30/12/1931	1931	Salmonella	S. kottbus			437	21/10/1980			4	50	7	3.5	1.2				Salmonella enterica	Salmonella sp	N/A	Yes
M438		NCTC 3748 (disc) (from orig. NCTC tube) 	12/08/1938	1938	Salmonella	S. virchow			438	21/10/1980		M141 M438 	1	32							Salmonella enterica	Salmonella sp	N/A	No
M439		NCTC 4165 (disc)	12/08/1938	1938	Salmonella	S. seftenberg			439	21/10/1980			2	32	2						Salmonella enterica	Salmonella sp	N/A	Yes
M44	13671	B 37 Quigg	07/01/1937	1937	Klebsiella	Kl. sp. 	Blood culture		44	02/09/1980			3	94	66	13					Klebsiella pneumoniae	Klebsiella pneumoniae	N/A	Yes
M440		NCTC 3205 (disc) (from orig. NCTC tube) 	12/08/1938	1938	Salmonella	S. moscow			440	21/10/1980		M273 M329 M330 M440	1	65							Salmonella enterica	Salmonella sp	N/A	No
M441		NCTC 4840	12/08/1938	1938	Salmonella	S. poona			441	21/10/1980		M254 M255 M441 	0								Salmonella enterica	Salmonella sp	N/A	No
M442		Monkey 321	02/03/1932	1932	Shigella	Sh. flexneri 			442	21/10/1980		M428 M442	6	94	4.2	2.6	2.3	1.1	1		Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella flexneri polyvalent 1 - 6 x + y	Yes
M443		NCTC 4958 (disc) (Orig. NCTC tube) 	12/08/1938	1938	Salmonella	S. bispebjerg			443	21/10/1980		M276 M443	2	88	44						Salmonella enterica	Salmonella sp	N/A	Yes
M444		NCTC 3158 (disc) (Orig. NCTC tube) 	12/08/1938	1938	Salmonella	S. seftenberg			444	21/10/1980		M132 M444	1	44							Salmonella enterica	Salmonella sp	N/A	No
M445		NCTC 3213 A (disc) (Orig. NCTC tube) 	12/08/1938	1938	Salmonella	S. bareilly			445	21/10/1980		M202 M203 M445	0								Salmonella enterica	Salmonella sp	N/A	No
M446		NCTC 4776 (Orig. NCTC tube) 	12/08/1938	1938	Salmonella	S. enteritidis			446	21/10/1980		M133 M446	3	56	2.1	1.2					Salmonella enterica	Salmonella sp	N/A	No
M447		NCTC 4948 (disc) (Orig. NCTC tube) 	12/08/1938	1938	Salmonella	S. hvittingfoss		Opaque variant	447 O 	21/10/1980		M139 M447 M448 	0								Salmonella enterica	Salmonella sp	N/A	No
M448		NCTC 4948 (disc) (Orig. NCTC tube) 	12/08/1938	1938	Salmonella	S. hvittingfoss		Translucent variant	448 T 	27/10/1980		M139 M447 M448 	ND								Salmonella enterica	Salmonella sp	N/A	No
M449		NCTC 4441 (disc) (Orig. NCTC tube) 	12/08/1938	1938	Salmonella	S. muenster			449	27/10/1980			1	18							Salmonella enterica	Salmonella sp	N/A	No
M45	13672	E 4006 	20/09/1940	1940	Klebsiella	Kl. sp. Friedlander			45	02/09/1980		M45 M162	1	37							Klebsiella pneumoniae	Klebsiella pneumoniae	N/A	Yes
M450		NCTC 5042 (disc) (Orig. NCTC tube) 	12/08/1938	1938	Salmonella	S. oslo			450	27/10/1980		M269 M270 M450	0								Salmonella enterica	Salmonella sp	N/A	No
M451		NCTC 3209 (disc) (Orig. NCTC tube) 	12/08/1938	1938	Salmonella	S. brandeberg			451	27/10/1980		M76 M77 M451	0								Salmonella enterica	Salmonella sp	N/A	Yes
M452		A 917 	13/03/1936	1936	Salmonella	S. typhi	Blood culture		452	27/10/1980			0								Salmonella enterica	Salmonella sp	N/A	Yes
M453		58 Panama	05/08/1940	1940	Salmonella	S. typhi ? S. panama			453	27/10/1980			0								N/A	Culture not found	N/A	No
M454		C 5113	20/01/1939	1939	Salmonella	S. typhi			454	27/10/1980			0								Salmonella enterica	Salmonella sp	N/A	Yes
M455		D 574 Vi Type Small	10/02/1939	1939	Salmonella	S. typhi			455	28/10/1980		M12 M455 M456 M461	ND								Salmonella enterica	Salmonella sp	N/A	Yes
M456		D 574 Vi Type Large	10/02/1939	1939	Salmonella	S. typhi			456	28/10/1980		M12 M455 M456 M461	0								Salmonella enterica	Salmonella sp	N/A	Yes
M457		A 3868	15/12/1936	1936	Salmonella	S. typhi			457	28/10/1980			0								Salmonella enterica	Salmonella sp	N/A	Yes
M458		"901 ""O"""	02/09/1937	1937	Salmonella	S. typhi	Blood culture		458	28/10/1980		M13 M458 	ND								Salmonella enterica	Salmonella sp	N/A	Yes
M459		G 2459		ND	Salmonella	S. typhi	From patient J. Vacluver		459	28/10/1980			ND								Salmonella enterica	Salmonella sp	N/A	Yes
M46		Craigie Type E 3 	09/11/1939	1939	Salmonella	S. typhi			46	15/09/1980			1	26							N/A	Culture not found	N/A	No
M460		G 2720	18/06/1942	1942	Salmonella	S. typhi	Blood		460	27/10/1980			0								Salmonella enterica	Salmonella sp	N/A	Yes
M461		D 574 Vi Type Large	10/02/1939	1939	Salmonella	S. typhi			461	27/10/1980		M12 M455 M456 M461	0								Salmonella enterica	Salmonella sp	N/A	Yes
M462		B 4611	25/11/1937	1937	Salmonella	S. typhi			462	27/10/1980			0								Salmonella enterica	Salmonella sp	N/A	Yes
M463		G 1811 Sabourin	18/04/1942	1942	Salmonella	S. typhi	Blood culture 		463	27/10/1980			0								Salmonella enterica	Salmonella sp	N/A	Yes
M464		CMH 27243	13/05/1942	1942	Salmonella	S. typhi	Blood culture	Large variant	464 L	28/10/1980	Both same size	M464 M465	0								N/A	Culture not found	N/A	No
M465		CMH 27243	13/05/1942	1942	Salmonella	S. typhi	Blood culture	Small variant	465 S	28/10/1980	Both same size	M464 M465	0								Salmonella enterica	Salmonella sp	N/A	Yes
M466		A 928 	13/03/1936	1936	Salmonella	S. typhi	"Stool, Scringeow"	Large variant	466 L 	28/10/1980	Both same size	M466 M467	ND								N/A	Culture not found	N/A	No
M467		A 928 	13/03/1936	1936	Salmonella	S. typhi	"Stool, Scringeow"	Small variant	467 S	28/10/1980	Both same size	M466 M467	0								Salmonella enterica	Salmonella sp	N/A	Yes
M468		CMH 22195	16/05/1941	1941	Salmonella	S. sp. 	"Stool, M Martes"		468	27/10/1980			0											No
M469		C 5154	17/12/1940	1940	Salmonella	S. sp. ? S. paratyphi B			469	27/10/1980			ND										N/A	No
M47		Craigie Type B 2 	09/11/1939	1939	Salmonella	S. typhi 			47	15/09/1980			ND								N/A	Culture not found	N/A	No
M470		C 5154 V	17/12/1940	1940	Salmonella	S. sp. ? S. paratyphi B		Rough variant	470 R	27/10/1980		M470 M471	0										N/A	No
M471		C 5154 V	17/12/1940	1940	Salmonella	S. sp. ? S. paratyphi B		Smooth variant	471 Smo	27/10/1980		M470 M471	0											No
M472		S 2629	17/12/1940	1940	Salmonella	S. sp. 			472	27/10/1980			0											No
M473		E 3884	17/12/1940	1940	Salmonella	S. sp. 		Large variant	473 L	27/10/1980	Both same size	M473 M474	0											No
M474		E 3884	17/12/1940	1940	Salmonella	S. sp. 		Small variant	474 S	27/10/1980	Both same size	M473 M474	1	18										No
M475		Guise	01/04/1943	1943	Salmonella	S. paratyphi B			475	28/10/1980		M8 M475 M481 M482	ND										N/A	No
M476		11103	03/01/1937	1937	Salmonella	S. montevido			476	27/10/1980			1	40							Salmonella enterica	Salmonella sp	N/A	Yes
M477		Wilt	09/01/1952	1952	Salmonella	S. sp. 		Large variant	477 L	27/10/1980	Both same size	M477 M478	ND											No
M478		Wilt	09/01/1952	1952	Salmonella	S. sp. 		Small variant	478 S	27/10/1980	Both same size	M477 M478	ND											No
M479		Stokes	05/05/1941	1941	Salmonella	S. enteritidis			479	27/10/1980		M1 M2 M479 M483 M484	ND											No
M48		Sp. 507 (1) 	17/06/1936	1936	Salmonella	S. sp 		Large variant	48L 	02/09/1980	Both same size	M48 M49	0											No
M480		Lii	-/12/35	1935	Salmonella	S. sp. 			480	22/10/1980			ND											No
M481		Guise FWA	04/01/1932	1932	Salmonella	S. paratyphi B		Rough variant	481 R	28/10/1980	"Both the same, R "	M8 M475 M481 M482	0										N/A	No
M482		Guise FWA	04/01/1932	1932	Salmonella	S. paratyphi B		Smooth variant	482 Smo	28/10/1980	"Both the same, R "	M8 M475 M481 M482	0										N/A	No
M483		Stokes	06/01/1932	1932	Salmonella	S. enteritidis		Large variant	483 L	22/10/1980		M1 M2 M479 M483 M484	1	34										No
M484		Stokes	06/01/1932	1932	Salmonella	S. enteritidis		Small variant	484 S	22/10/1980		M1 M2 M479 M483 M484	1	34										No
M485		Schrewsburg	10/04/1934	1934	Salmonella	S. newport			485	22/10/1980			3	3.8	2.9	2.2					Salmonella enterica	Salmonella sp	N/A	Yes
M486		Sp. 504 (1) 	17/06/1936	1936	Salmonella	S. sp. 			486	22/10/1980			0											No
M487		Sp. 504 (2)  	17/06/1936	1936	Salmonella	S. sp. 			487	22/10/1980			0											No
M488		Sp. 521 (2) 	17/06/1936	1936	Salmonella	S. sp. 			488	22/10/1980		M373 M374 M375 M488	0											No
M489		Sp. 519 (2) 	17/06/1936	1936	Salmonella	S. sp. 			489	22/10/1980			4	2	1.6	1	0.9							No
M49		Sp. 507 (1) 	17/06/1936	1936	Salmonella	S. sp 		Small variant	49S 	02/09/1980	Both same size	M48 M49	0											No
M490		"""17"" Standard strain "		ND	Salmonella	S. pullorum			490	22/10/1980			1	52							Salmonella enterica	Salmonella sp	N/A	Yes
M491		D 1371	16/03/1937	1937	Salmonella	S. typhi			491	28/10/1980			0								Salmonella enterica	Salmonella sp	N/A	Yes
M492		57854	04/09/1935	1935	Salmonella	S. paratyphi B		Large variant	492 L	10/11/1980	Both same size	M282 M419 M492 M493	4	6.6	6	3.8	3.3						N/A	No
M493		57854	04/09/1935	1935	Salmonella	S. paratyphi B		Small variant	493 S	10/11/1980	Both same size	M282 M419 M492 M493	4	6.6	6	3.8	3.3						N/A	No
M494		CMH 22319 Leville	29/05/1941	1941	Salmonella	S. typhimurium		Large variant	494 L	04/11/1980	"M494 Smo, M495 R"	M494 M495	0								Salmonella enterica	Salmonella sp	N/A	Yes
M495		CMH 22319 Leville	29/05/1941	1941	Salmonella	S. typhimurium		Small variant	495 S	04/11/1980	"M494 Smo, M495 R"		0								Salmonella enterica	Salmonella sp	N/A	Yes
M496		CMH 22217 	16/05/1941	1941	Salmonella	S. sp. 	Stool; P. Gagnon		496	04/11/1980			1	40										No
M497		G 1813 MNI		ND	Salmonella	S. sp. 			497	04/11/1980			ND											No
M498		CMH 22265	17/05/1941	1941	Salmonella	S. sp. 	"Stool; A, Di Bartoli"		498	03/11/1980			2	130	27									No
M499		Cornick H 1922 Strain I 	01/04/1943	1943	Salmonella	S. paratyphi B	Stool	Large variant	499 L	10/11/1980	Both same size	M499 M500	ND										N/A	Yes
M5		Winks (Witts) 	03/08/1925	1925	Salmonella	S. paratyphi C 			5	15/09/1980		M5 M67 M157	1	38									N/A	No
M50		Craigie Type E 1	09/11/1939	1939	Salmonella	S. typhi			50	02/09/1980			0								N/A	Culture not found	N/A	No
M500		Cornick H 1922 Strain I 	01/04/1943	1943	Salmonella	S. paratyphi B	Stool	Small variant	500 S	10/11/1980	Both same size	M499 M500	ND										N/A	No
M501		CMH 22201	16/05/1941	1941	Salmonella	S. sp. 	"Stool, J. Barovier"	Large variant	501 L	03/11/1980	Both same size	M501 M502	1	27										No
M502		CMH 22201	16/05/1941	1941	Salmonella	S. sp. 	"Stool, J. Barovier"	Small variant	502 S	03/11/1980	Both same size	M501 M502	0											No
M503		CMH 22194	16/05/1941	1941	Salmonella	S. sp. 	D. DeCarlo		503	03/11/1980			1	18										No
M504		NCTC 3378 orig.	12/08/1938	1938	Salmonella	S. eastbourne			504	03/11/1980			1	21							Salmonella enterica	Salmonella sp	N/A	No
M505		NCTC 4221 (disc) 	12/08/1938	1938	Salmonella	S. panama			505	03/11/1980			0								Salmonella enterica	Salmonella sp	N/A	Yes
M506		NCTC 4784 (disc) orig. 	12/08/1938	1938	Salmonella	S. eastbourne			506	03/11/1980			ND								Salmonella enterica	Salmonella sp	N/A	Yes
M507		B 1505 - A 	19/12/1937	1937	Salmonella	S. typhi	Blood culture	Large variant	507 L	10/11/1980	Both same size	M507 M508 M592 M593	1	26							N/A	Culture not found	N/A	No
M508		B 1505 - A 	19/12/1937	1937	Salmonella	S. typhi	Blood culture	Small variant	508 S	10/11/1980	Both same size	M507 M508 M592 M593	ND								Salmonella enterica	Salmonella sp	N/A	Yes
M509		CMH 5119	13/03/1936	1936	Salmonella	S. typhi			509	10/11/1980		M416 M509 	0								Salmonella enterica	Salmonella sp	N/A	Yes
M51		PB 24	04/02/1918	1918	Shigella	Sh. flexneri 			51	02/09/1980			ND								Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella flexneri polyvalent 1 - 6 x + y	Yes
M510		CMH 4950	23/03/1938	1938	Salmonella	S. typhi			510	10/11/1980			1	26							Salmonella enterica	Salmonella sp	N/A	Yes
M511		Felix - 2 	02/09/1937	1937	Salmonella	S. typhi			511	10/11/1980			0								N/A	Culture not found	N/A	No
M512		E 5598 Boyle	-/12/40	1940	Salmonella	S. sp. 	Splenic infarct; same case as E 3884 stool		512	10/11/1980			0											No
M513		Sampson (?)	14/-/32	1932	Salmonella	S. typhi			513	10/11/1980			ND								N/A	Culture not found	N/A	No
M514		G 3037 Wheaton	06/07/1942	1942	Salmonella	S. typhi			514	10/11/1980			ND								Salmonella enterica	Salmonella sp	N/A	Yes
M515		G 2039 	05/06/1942	1942	Salmonella	S. typhi			515	10/11/1980			ND								Salmonella enterica	Salmonella sp	N/A	Yes
M516 		E 4784 Sweet 	16/01/1941	1941	Salmonella	S. typhi	Carrier	Opaque variant	516 O	10/11/1980		M516 M517	ND								Salmonella enterica	Salmonella sp	N/A	Yes
M517		E 4784 Sweet 	16/01/1941	1941	Salmonella	S. typhi	Carrier	Translucent variant	517 T	10/11/1980		M516 M517	ND								Salmonella enterica	Salmonella sp	N/A	Yes
M518		53667	26/04/1934	1934	Salmonella	S. typhi (?)		Opaque variant	518 O	10/11/1980	Both the same	M518 M519 	ND											No
M519		53667	26/04/1934	1934	Salmonella	S. typhi (?)		Translucent variant	519 T	10/11/1980	Both the same	M518 M519	ND											No
M52		Karim	27/08/1918	1918	Shigella	Sh. sp 			52	02/09/1980			0								Enterobacteriaceae family (Shigella/ E. coli)	Escherichia coli	Shigella flexneri polyvalent 1 - 6 x + y	Yes
M520		C 5499		ND	Salmonella	S. typhi		Large variant	520 L	10/11/1980	Both same size	M520 M521	ND								Salmonella enterica	Salmonella sp	N/A	Yes
M521		C 5499		ND	Salmonella	S. typhi		Small variant	521 S	10/11/1980	Both same size	M520 M521	ND								Salmonella enterica	Salmonella sp	N/A	Yes
M522		C 5414 VI 	17/12/1940	1940	Salmonella	S. sp. 		Large variant	522 L	03/11/1980	Both same size	M346 M522 M523	0											No
M523		C 5414 VI 	17/12/1940	1940	Salmonella	S. sp. 		Small variant	523 S	03/11/1980	Both same size	M346 M522 M523	0											No
M524		D 3036 	17/12/1940	1940	Salmonella	S. sp. 		Large variant	524 L	03/11/1980	M 524 L; M525 O and T 	M524 M525	1	74										No
M525		D 3036 	17/12/1940	1940	Salmonella	S. sp. 		Small variant	525 S	03/11/1980	M 524 L; M525 O and T 	M524 M525	ND											No
M526		E 3627	17/12/1940	1940	Salmonella	S. sp. 			526	03/11/1980			2	58	46									No
M527		C 598	17/12/1940	1940	Salmonella	S. sp. 		Large variant 	527 L	03/11/1980		M527 M528 M529	1	2										No
M528		C 598	17/12/1940	1940	Salmonella	S. sp. 		Smooth opaque variant	528 SO	03/11/1980		M527 M528 M529	1	22										No
M529		C 598	17/12/1940	1940	Salmonella	S. sp. 		Smooth translucent variant	529 ST	03/11/1980		M527 M528 M529	1	1										No
M53		US Army vaccine strain 58 	26/02/1940	1940	Salmonella	S. typhi			53	15/09/1980			0								N/A	Culture not found	N/A	No
M530		C 2849 	17/12/1940	1940	Salmonella	S. sp. 		Large variant	530 L	03/11/1980			2	130	26									No
M531		C 2849 	17/12/1940	1940	Salmonella	S. sp. 		Small variant	531 S	03/11/1980			1	24										No
M532		C 637 	17/12/1940	1940	Salmonella	S. sp. 		Large variant	532 L	03/11/1980	"Both same size, M532 Smo, M533 R"	M532 M533	ND											No
M533		C 637 	17/12/1940	1940	Salmonella	S. sp. 		Small variant	533 S	03/11/1980	"Both same size, M532 Smo, M533 R"	M532 M533	ND											No
M534		C 5189	17/12/1940	1940	Salmonella	S. sp. 		Large variant	534 L	03/11/1980	Both same size	M534 M535	0											No
M535		C 5189	17/12/1940	1940	Salmonella	S. sp. 		Small variant	535 S	03/11/1980	Both same size	M534 M535	0											No
M536		C 3202	17/12/1940	1940	Salmonella	S. sp. 		Large variant	536 L	03/11/1980	"Both same size, M536 Smo, M537 R"	M536 M537	1	86										No
M537		C 3202	17/12/1940	1940	Salmonella	S. sp. 		Small variant	537 S	03/11/1980	"Both same size, M536 Smo, M537 R"	M536 M537	4	86	6.2	4.3	3.2							No
M538		D 3038	17/12/1940	1940	Salmonella	S. sp. 			538	03/11/1980			1	43										No
M539		D 1365	23/12/1940	1940	Salmonella	S. sp. 			539	03/11/1980		M539 M621	0											No
M54		Craigie Type F 2	09/11/1939	1939	Salmonella	S. typhi			54	15/09/1980			1	66							N/A	Culture not found	N/A	No
M540		C 2804	17/12/1940	1940	Salmonella	S. sp. 			540	03/11/1980			0											No
M541		C 8182 1.A	23/09/1937	1937	Salmonella	S. sp. (Atypical) 			541	10/11/1980			ND											No
M542		G 1827 ? MNI		ND	Salmonella	S. sp. 		Large variant	542 L	03/11/1980	"M542 Smo, 543 R, 544 u.R"	M542 M543 M544	1	43										No
M543		G 1827 ? MNI		ND	Salmonella	S. sp. 		Medium translucent variant	543 MT	03/11/1980	"M542 Smo, 543 R, 544 u.R"	M542 M543 M544	1	46										No
M544		G 1827 ? MNI		ND	Salmonella	S. sp. 		Smooth opaque variant	544 SO	03/11/1980	"M542 Smo, 543 R, 544 u.R"	M542 M543 M544	2	3	2.7									No
M545		53450		ND	Klebsiella	Kleb. sp. Friedlanders		Large variant	545 L	03/11/1980		M545 M546 	ND								Enterobacter aerogenes	Enterobacter aerogenes	N/A	Yes
M546		53450		ND	Klebsiella	Kleb. sp. Friedlanders		Small variant	546 S	03/11/1980		M545 M546 	ND								Enterobacter aerogenes	Enterobacter aerogenes	N/A	Yes
M547		53434	20/02/1934	1934	Proteus	Proteus sp. 			547	03/11/1980			0								Proteus mirabilis	Proteus mirabilis	N/A	Yes
M548		C 5520		ND	Proteus	Proteus or Providencia sp			548	03/11/1980			0								Proteus mirabilis	Proteus mirabilis	N/A	Yes
M549		Weil Felix orig. 	18/02/1919	1919	Proteus	Proteus vulgaris X19 			549	03/11/1980		M549 M569	0								Proteus vulgaris	Proteus vulgaris	N/A	Yes
M55		European Sui SF 8 	13/12/1946	1946	Salmonella	S. cholerasuis var. Kuzendorf			55	02/09/1980		M55 M179	1	30							Salmonella enterica	Salmonella sp	N/A	Yes
M550		D 2731	17/12/1940	1940	Salmonella	S. sp. 			550	03/11/1980			1	2.8										No
M551		D 499	17/12/1940	1940	Salmonella	S. sp. 			551	03/11/1980			1	5.2										No
M552		E 3778	17/12/1944	1944	Salmonella	S. sp. 			552	03/11/1980			ND											No
M553		US F&D (Hopkins) 	30/10/1937	1937	Salmonella	S. typhi			553	10/11/1980		M112 M553	ND								Salmonella enterica	Salmonella sp	N/A	Yes
M554		Voldagsen	-/12/35	1935	Salmonella	S. typhicuis var. voldagsen			554	04/11/1980			1	3.7							Salmonella enterica	Salmonella sp	N/A	Yes
M555		Bagdad 41	10/04/1934	1934	Salmonella	S. paratyphi C 			555	10/11/1980		M97 M206 M207 M555	1	36									N/A	Yes
M556		P.A. I. non-specific 	10/04/1934	1934	Salmonella	S. sendai			556	10/11/1980		M246 M247 M354 M355 M556	0								Salmonella enterica	Salmonella sp	N/A	Yes
