Murray Collection Identifier,WTSI sequence tag,ENA accession number,Sample name,Public Name,GC content,Total sequencing yield (kbp) ,Assembly total length (bp) ,Assembly contiguous sequences (number) ,N50,WGS genus,Salmonella MLST,Escherichia coli MLST,Klebseilla MLST ,mdtM,tetC,acrA,acrB,arnA,bacA,bcr,bl1_ec,bl2be_shv2,bl2e_fpm,bl3_cpha,catA2,catA4,emrD,emrE,fosA,ksgA,macB,mdfA,mdtE,mdtF,mdtG,mdtH,mdtK,mdtL,mdtN,mdtO,mdtP,mexB,pbp2,tetJ,tolC,Number detected,Plasmid 1 ,Plasmid 2,Plasmid 3,Plasmid 4,Plasmid 5
M612,9471_7#1,ERS203112,NCTC_M612 6838780,NCTC20283,50.75,515225,4901739,211,65189,Escherichia/Shigella,,757,,Present,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,1,IncB_O_K_Z_2_GU256641,,,,
M609,9471_7#5,ERS203116,NCTC_M609 6838828,NCTC20279,50.75,498262,4940494,280,70921,Escherichia/Shigella,,757,,Present,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,1,IncB_O_K_Z_2_GU256641,,,,
M368,9803_5#69,ERS222808,NCTC_M368 7222984,NCTC20367,50.75,303435,4745588,360,29207,Escherichia/Shigella,,152,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,5,Col_BS512__1__NC_010656,Col_BS512__1a__NC_010656,Col156_1__NC_009781,IncB_O_K_Z_2_GU256641,IncI1_1_Alpha_AP005147
M224,9803_5#51,ERS222790,NCTC_M224 7222958,NCTC20342,50.75,303432,4713082,356,28434,Escherichia/Shigella,,152,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,4,Col_BS512__1__NC_010656,Col_BS512__1a__NC_010656,Col156_1__NC_009781,IncI1_1_Alpha_AP005147,
M623,9803_5#6,ERS222745,NCTC_M623 7222988,NCTC20382,50.75,289992,4587728,356,26606,Escherichia/Shigella,,152,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,4,Col_BS512__1__NC_010656,Col_BS512__1a__NC_010656,Col156_1__NC_009781,IncI1_1_Alpha_AP005147,
M331,9776_2#23,ERS203039,NCTC_M331 6836981,NCTC20108,50.75,517514,4773139,107,124756,Escherichia/Shigella,,540,,Present,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,2,IncFIA_HI1__1_HI1_AF250878,IncR_1__DQ449578,,,
M159,9471_7#83,ERS203194,NCTC_M159 6838814,NCTC20198,50.75,407943,3820214,495,15102,Escherichia/Shigella,,260,,Present,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,0,,,,,
M393,9803_5#26,ERS222765,NCTC_M393 7222943,NCTC20370,50.85,320580,4597752,341,29718,Escherichia/Shigella,,152,,Absent,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,4,Col_BS512__1__NC_010656,Col_BS512__1a__NC_010656,Col156_1__NC_009781,IncB_O_K_Z_2_GU256641,
M676,9471_7#53,ERS203164,NCTC_M676 6838834,NCTC20309,50.95,440724,4171342,210,48161,Escherichia/Shigella,,ND,,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Present,2,IncFIA_HI1__1_HI1_AF250878,IncFIB_K__1_Kpn3_JN233704,,,
M19,8476_1#4,ERS174281,NCTC-M19 5904800,NCTC20014,55.65,372184,5527372,55,378281,Klebsiella,,,29,Absent,Present,Present,Present,Present,Present,Present,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,1,IncFIB_K__1_Kpn3_JN233704,,,,
M295,8476_1#5,ERS174280,NCTC-M295 5904799,NCTC20008,56,335937,5457464,44,412312,Klebsiella,,,35,Absent,Present,Present,Present,Present,Present,Present,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,2,IncFIB_K__1_Kpn3_JN233704,IncFIB_pKPHS1__1_pKPHS1_CP003223,,,
M43,8939_4#18,ERS179691,NCTC_M43,NCTC20028,55.25,314865,5494020,286,47208,Klebsiella,,,ND,Absent,Present,Present,Present,Absent,Present,Present,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Absent,Present,0,,,,,
M404,9471_7#43,ERS203154,NCTC_M404 6838809,NCTC20127,55.6,443183,5140791,233,58784,Klebsiella,,,90,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,0,,,,,
M69,8939_4#27,ERS179700,NCTC_M69,NCTC20040,55.65,287457,5151532,163,78197,Klebsiella,,,82,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,0,,,,,
M433,9776_2#51,ERS203067,NCTC_M433 6836937,NCTC20133,55.65,513877,5417106,256,55139,Klebsiella,,,93,Absent,Present,Present,Present,Absent,Present,Present,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,0,,,,,
M585,9803_5#57,ERS222796,NCTC_M585 7222935,NCTC20012,55.7,342729,5582843,126,206245,Klebsiella,,,ND,Absent,Present,Present,Present,Present,Present,Present,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,2,ColRNAI_1__DQ298019,IncFII_29__1_pUTI89_CP003035,,,
M124,8939_4#68,ERS179741,NCTC_M124,NCTC20053,55.7,260550,5280721,201,67415,Klebsiella,,,ND,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,0,,,,,
M176,8939_4#70,ERS179743,NCTC_M176,NCTC20072,55.9,282356,5331908,194,72754,Klebsiella,,,ND,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,0,,,,,
M635,9471_7#66,ERS203177,NCTC_M635 6838800,NCTC20296,55.9,361348,5318982,217,65950,Klebsiella,,,ND,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,0,,,,,
M584,9471_7#14,ERS203125,NCTC_M584 6838841,NCTC20270,55.95,386857,5203520,228,67968,Klebsiella,,,82,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,0,,,,,
M665,9471_7#54,ERS203165,NCTC_M665 6838846,NCTC20308,55.95,395770,5321328,207,69830,Klebsiella,,,ND,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,0,,,,,
M175,8939_4#62,ERS179735,NCTC_M175A,NCTC20071,56,285405,5385638,223,67400,Klebsiella,,,82,Absent,Present,Present,Present,Absent,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,0,,,,,
M583,9471_7#15,ERS203126,NCTC_M583 6838853,NCTC20269,56.05,411880,5227350,230,75738,Klebsiella,,,82,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,0,,,,,
M398,9776_2#41,ERS203057,NCTC_M398 6836912,NCTC20123,56.05,493132,5256954,184,78767,Klebsiella,,,ND,Absent,Present,Present,Present,Absent,Present,Present,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,0,,,,,
M403,9776_2#45,ERS203061,NCTC_M403 6836960,NCTC20126,56.05,576370,5026248,203,61486,Klebsiella,,,90,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,0,,,,,
M42,8939_4#10,ERS179683,NCTC_M42,NCTC20027,56.1,354112,5256241,180,67902,Klebsiella,,,ND,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,0,,,,,
M345,9776_2#27,ERS203043,NCTC_M345 6836934,NCTC20112,56.1,553142,5409413,237,71045,Klebsiella,,,82,Absent,Present,Present,Present,Absent,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,0,,,,,
M637,9471_7#64,ERS203175,NCTC_M637 6838871,NCTC20298,56.15,406592,5381555,193,72958,Klebsiella,,,ND,Absent,Present,Present,Present,Absent,Present,Present,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,0,,,,,
M636,9471_7#65,ERS203176,NCTC_M636 6838788,NCTC20297,56.15,395435,5246745,164,78682,Klebsiella,,,82,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,0,,,,,
M399,9776_2#42,ERS203058,NCTC_M399 6836924,NCTC20123,56.15,486718,5259024,184,68648,Klebsiella,,,ND,Absent,Present,Present,Present,Absent,Present,Present,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,0,,,,,
M586,9471_7#13,ERS203124,NCTC_M586 6838829,NCTC20271,56.2,448202,5568172,124,206245,Klebsiella,,,ND,Absent,Present,Present,Present,Present,Present,Present,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,2,ColRNAI_1__DQ298019,IncFII_29__1_pUTI89_CP003035,,,
M44,8939_4#26,ERS179699,NCTC_M44,NCTC20029,56.25,286071,5258792,192,68811,Klebsiella,,,82,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,0,,,,,
M414,9776_2#46,ERS203062,NCTC_M414 6836972,NCTC20128,56.3,527312,5181384,196,74342,Klebsiella,,,82,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,0,,,,,
M400,9776_2#43,ERS203059,NCTC_M400 6836936,NCTC20124,56.35,511975,5234927,177,78718,Klebsiella,,,ND,Absent,Present,Present,Present,Absent,Present,Present,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,0,,,,,
M588,9471_7#11,ERS203122,NCTC_M588 6838805,NCTC20273,56.45,492655,5150180,195,77745,Klebsiella,,,82,Absent,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,0,,,,,
M587,9471_7#12,ERS203123,NCTC_M587 6838817,NCTC20272,56.55,474796,5145579,184,76905,Klebsiella,,,82,Absent,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,0,,,,,
M342,9776_2#24,ERS203040,NCTC_M342 6836993,NCTC20109,56.55,573695,5250370,142,95542,Klebsiella,,,82,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,0,,,,,
M372,9776_2#31,ERS203047,NCTC_M372 6836982,NCTC20116,56.55,564794,5243174,150,88734,Klebsiella,,,82,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,0,,,,,
M45,8939_4#34,ERS179707,NCTC_M45,NCTC20030,56.7,322920,5020525,145,70149,Klebsiella,,,82,Absent,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,0,,,,,
M109,8939_4#52,ERS179725,NCTC_M109,NCTC20051,56.75,292750,5417303,46,230360,Klebsiella,,,ND,Absent,Present,Present,Present,Present,Present,Present,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,1,IncHI1B_1_pNDM_MAR_JN420336,,,,
M371,9776_2#30,ERS203046,NCTC_M371 6836970,NCTC20115,56.75,539597,5244902,141,88332,Klebsiella,,,82,Absent,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,0,,,,,
M343,9776_2#25,ERS203041,NCTC_M343 6836910,NCTC20110,56.85,532289,4980231,124,77969,Klebsiella,,,82,Absent,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,0,,,,,
M426,9776_2#48,ERS203064,NCTC_M426 6836996,NCTC20130,57.05,534600,5527710,159,197608,Klebsiella,,,ND,Absent,Present,Present,Present,Present,Present,Present,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,3,IncFIB_K__1_Kpn3_JN233704,IncFII_1_pKP91_CP000966,IncFII_1_pKP91_CP000966,,
M296,9803_5#43,ERS222782,NCTC_M296 7222957,NCTC20007,57.25,311001,5148863,24,465957,Klebsiella,,,36,Absent,Absent,Present,Present,Present,Present,Present,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,0,,,,,
M571,9471_7#25,ERS203136,NCTC_M571 6838783,NCTC20259,50.75,502511,3948322,29,403231,Morganella,,,,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,0,,,,,
M567,9471_7#29,ERS203140,NCTC_M567 6838831,NCTC20255,50.8,445190,3835080,19,664661,Morganella,,,,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,0,,,,,
M589,9471_7#10,ERS203121,NCTC_M589 6838793,NCTC20274,50.95,469248,3744830,20,603737,Morganella,,,,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,0,,,,,
M548,8476_1#3,ERS174282,NCTC-M548 5904801,NCTC20010,0,191285,3938574,36,440174,Proteus,,,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,0,,,,,
M569,9471_7#27,ERS203138,NCTC_M569 6838807,NCTC20257,37.9,515108,3925593,18,763476,Proteus,,,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,0,,,,,
M549,9471_7#34,ERS203145,NCTC_M549 6838796,NCTC20250,38,442062,3892226,24,722335,Proteus,,,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,0,,,,,
M572,9471_7#24,ERS203135,NCTC_M572 6838866,NCTC20260,38.45,458933,3823752,30,291347,Proteus,,,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,0,,,,,
M568,9471_7#28,ERS203139,NCTC_M568 6838819,NCTC20256,38.55,509308,3922375,27,249515,Proteus,,,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,0,,,,,
M591,9471_7#8,ERS203119,NCTC_M591 6838864,NCTC20276,38.55,490787,3931792,53,214778,Proteus,,,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,0,,,,,
M558,9471_7#31,ERS203142,NCTC_M558 6838855,NCTC20253,38.6,620814,3886424,23,352828,Proteus,,,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,0,,,,,
M645,9471_7#63,ERS203174,NCTC_M645 6838859,NCTC20299,38.6,465586,3962483,28,309391,Proteus,,,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,0,,,,,
M566,9471_7#30,ERS203141,NCTC_M566 6838843,NCTC20254,38.65,555967,3961380,28,280142,Proteus,,,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,0,,,,,
M557,9803_5#50,ERS222789,NCTC_M557 7222946,NCTC20011,38.65,366374,3956547,30,248935,Proteus,,,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,0,,,,,
M570,9471_7#26,ERS203137,NCTC_M570 6838795,NCTC20258,38.7,522951,3986302,34,278366,Proteus,,,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,0,,,,,
M547,9471_7#35,ERS203146,NCTC_M547 6838808,NCTC20249,38.7,507246,3984264,43,250644,Proteus,,,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,0,,,,,
M646,9471_7#62,ERS203173,NCTC_M646 6838847,NCTC20300,38.9,456782,3991064,40,239770,Proteus,,,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,0,,,,,
M590,9471_7#9,ERS203120,NCTC_M590 6838781,NCTC20275,38.9,562717,3939539,58,201904,Proteus,,,,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,0,,,,,
M344,9776_2#26,ERS203042,NCTC_M344 6836922,NCTC20111,55.35,530083,5488300,33,336936,Raoultella,,,,Absent,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,0,,,,,
M328,9776_2#20,ERS203036,NCTC_M328 6836945,NCTC20044,51.25,491792,4624693,32,539318,Salmonella,320,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M138,8939_4#45,ERS179718,NCTC_M138,NCTC4785,51.35,292627,5044507,82,226688,Salmonella,371,,,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M180A,8939_4#86,ERS179759,NCTC_M180A,NCTC3378,51.35,315015,5040831,74,214972,Salmonella,371,,,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M180B,8939_4#94,ERS179671,NCTC_M180B,NCTC3378,51.4,280100,5095570,92,197146,Salmonella,371,,,Present,Present,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,0,,,,,
M304,9776_2#16,ERS203032,NCTC_M304 6836992,NCTC20104,51.55,576328,4946149,56,211596,Salmonella,19,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,1,IncI1_1_Alpha_AP005147,,,,
M582,9471_7#16,ERS203127,NCTC_M582 6838865,NCTC20268,51.55,301420,4811108,51,185821,Salmonella,2,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Present,Absent,Present,1,IncX1_4__JN935898,,,,
M276,9776_2#1,ERS203017,NCTC_M276 6836907,NCTC20091,51.55,470884,5106624,106,163051,Salmonella,ND,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,2,IncFII_1__AY458016,IncFII_S__1__CP000858,,,
M443,9776_2#55,ERS203071,NCTC_M443 6836985,NCTC20137,51.55,533613,5136048,89,203397,Salmonella,ND,,,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Present,Present,Present,Absent,Absent,Absent,Absent,Absent,Present,Absent,Present,2,IncFII_1__AY458016,IncFII_S__1__CP000858,,,
