Sequence ID,Isolate ID,ENA Accessions 1,ENA Accessions 2,Total Length,Number Contigs,Avg_Contig_Length,Largest Contig,N50,Contigs in N50,Mapped %,Depth of Coverage,Participant,Year of Isolation,Geographic Location,Origin,Sample Type,gyrA Mutation,parC Mutation,H30-H30R-H30Rx,Clade,CTX-M Presence,blaOXA1,blaTEM,aac-(6')-lbcr,mphA,dfrA17,tetA,sul1,sul2,strA,strB
15056_4#64,NHES0132,ERR830623,ERS576246,5160484,82,62932.73,712013,242361,6,98.1,102.13,P12,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_4#65,NHES0152,ERR830624,ERS576248,5307524,68,78051.82,748823,222380,7,96.2,98.88,P12,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Absent,Present,Absent,Absent,Absent
15056_4#66,NHES0153,ERR830625,ERS576249,5157603,108,47755.58,712112,227524,6,97.3,126.72,P3,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_4#67,NHES0186,ERR830626,ERS576253,5159592,108,47774,712376,228643,7,98.9,99.23,P12,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_4#68,NHES0190,ERR830627,ERS576254,5148508,88,58505.77,719400,210844,7,98.3,88.53,P3,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Absent,Present,Absent,Absent,Absent
15056_4#69,NHES0195,ERR830628,ERS576255,5195353,61,85169.72,1240744,337446,5,95.6,104.7,P15,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Absent,Present,Absent,Absent,Absent
15056_4#70,NHES0198,ERR830629,ERS576256,5152249,100,51522.49,717270,216658,8,98.7,89.03,P12,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Absent,Present,Present,Absent,Present,Absent,Absent,Absent
15056_4#71,NHES0217,ERR830630,ERS576259,5126084,98,52306.98,719347,191472,8,96.4,91.8,P10,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_4#73,NHES0226,ERR830632,ERS576261,5304444,72,73672.83,474959,233544,8,95.1,95.11,P12,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Absent,Present,Absent,Absent,Absent
15056_4#74,NHES0229,ERR830633,ERS576262,5105336,72,70907.44,542139,247422,7,98.2,111.38,P14,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Absent,Present,Present,Absent,Absent,Absent,Absent
15056_4#75,NHES0335,ERR830634,ERS576264,5069770,80,63372.12,712298,191463,8,99.8,97.34,P21,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Absent,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent
15056_4#76,NHES0317,ERR830635,ERS576268,5135022,93,55215.29,717008,191245,8,98.8,114.37,P28,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_4#77,NHES0331,ERR830636,ERS576270,5117943,89,57504.98,758973,225339,7,98.3,132.31,P3,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Absent,Present,Absent,Absent,Absent
15056_4#78,NHES0265,ERR830637,ERS576275,5102888,100,51028.88,717335,307687,6,99.8,116.32,P21,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_4#79,NHES0272,ERR830638,ERS576276,5150863,89,57874.87,717098,208323,7,92.3,101.09,P26,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_4#8,NHES0068,ERR830567,ERS576158,5091244,104,48954.27,717117,211800,8,96.2,83.36,P23,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_4#80,NHES0287,ERR830639,ERS576278,5195389,56,92774.8,1240779,392486,4,95,100.39,P15,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Absent,Present,Absent,Absent,Absent
15056_4#81,NHES0122,ERR830640,ERS576280,5075364,102,49758.47,716994,223882,8,96.5,91.8,P23,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_4#82,NHES0316,ERR830641,ERS576281,5091035,99,51424.6,717215,190985,9,96.6,103.42,P23,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_4#83,NHES0046,ERR830642,ERS576284,5096085,90,56623.17,717347,281662,7,95.8,114.25,P23,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_4#84,NHES0337,ERR830643,ERS576285,5154402,93,55423.68,756015,182230,9,93.8,131.77,P44,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15056_4#9,NHES0247,ERR830568,ERS576160,5147874,97,53070.87,717026,191072,7,92.9,75.56,P44,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15795_1#43,NHES0131,ERR905806,ERS625283,5118507,61,83909.95,591059,319750,7,97.1,180.79,P16,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent
15795_1#44,NHES0149,ERR905807,ERS625284,5117023,61,83885.62,590491,319791,7,97.3,175.5,P16,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent
15795_1#45,NHES0155,ERR905808,ERS625285,5119824,63,81267.05,590712,358939,6,96.7,164.88,P16,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent
15795_1#46,NHES0160,ERR905809,ERS625286,5103727,77,66282.17,1032110,210798,7,98.6,172.83,P10,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Absent,Present,Present,Absent,Present,Absent,Absent,Absent
15795_1#47,NHES0161,ERR905810,ERS625287,5159322,87,59302.55,547039,283043,7,98.8,184.75,P25,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15795_1#48,NHES0175,ERR905811,ERS625288,5121403,66,77597.02,548534,320150,7,92.4,195.23,P16,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Absent,Absent,Absent,Absent,Absent,Absent
15795_1#49,NHES0185,ERR905812,ERS625289,5155812,94,54849.06,535459,202159,8,99.2,199.71,P6,2014,East England,LTCF,Urine,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Absent,Present,Absent,Absent,Absent
15795_1#50,NHES0204,ERR905813,ERS625290,5157888,86,59975.44,717362,210885,8,98.4,183.94,P25,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15795_1#51,NHES0205,ERR905814,ERS625291,5108760,68,75128.82,712655,233297,7,98.5,191.6,P10,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Absent,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15795_1#52,NHES0211,ERR905815,ERS625292,5096034,93,54796.06,717343,368544,5,98.3,202.46,P23,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15795_1#53,NHES0221,ERR905816,ERS625293,5158580,92,56071.52,717366,193205,9,98.8,188.59,P25,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15795_1#54,NHES0230,ERR905817,ERS625294,5160643,88,58643.67,756310,283012,7,98.4,175.77,P25,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15795_1#55,NHES0238,ERR905818,ERS625295,5123281,93,55089.04,712319,181903,8,98.4,177.58,P10,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15795_1#56,NHES0256,ERR905819,ERS625296,5158259,89,57957.97,717520,317782,6,95.6,198.68,P25,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15795_1#57,NHES0259,ERR905820,ERS625297,5096516,95,53647.54,717407,318009,6,98.7,219.67,P23,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Absent,Absent,Absent,Absent
15795_1#59,NHES0271,ERR905822,ERS625299,5159471,81,63697.17,712458,317806,6,98.9,188.12,P25,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15795_1#60,NHES0286,ERR905823,ERS625300,5159329,85,60697.99,717438,297689,6,98.9,176.95,P25,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15795_1#61,NHES0297,ERR905824,ERS625301,5085275,95,53529.21,717355,198460,8,98,186.92,P10,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15795_1#63,NHES0314,ERR905826,ERS625303,5080422,86,59074.67,719563,210885,7,97.5,170.44,P10,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
15795_1#64,NHES0321,ERR905827,ERS625304,5159947,81,63703.05,721298,198893,9,98.7,189.78,P25,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
14937_6#13,NHEC0043,ERR775894,ERS575940,5140961,99,51928.9,715974,222412,7,95.4,83.61,P12,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,Absent,Absent,Absent,Absent,Present,Present,Absent,Present,Absent,Absent,Absent
14937_6#14,NHEC0042,ERR775895,ERS575942,5074511,96,52859.49,544377,191235,8,93.5,81.31,P10,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,Absent,Absent,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent
14937_6#16,NHEC0050,ERR775897,ERS575946,5144334,108,47632.72,710820,206420,8,95.4,89.62,P12,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,Absent,Absent,Absent,Absent,Present,Present,Absent,Present,Absent,Absent,Absent
14937_6#17,NHEC0051,ERR775898,ERS575948,5141936,99,51938.75,966393,191057,8,95.5,85.23,P12,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,Absent,Absent,Absent,Absent,Present,Present,Absent,Present,Absent,Absent,Absent
14937_6#20,NHEC0076,ERR775901,ERS575954,5112902,103,49639.83,512787,205110,8,93.4,81.99,P10,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,Absent,Absent,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent
14937_6#23,NHEC0054,ERR775904,ERS575961,5131162,97,52898.58,711858,179601,8,93.1,77.75,P19,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,Absent,Absent,Absent,Absent,Present,Absent,Absent,Present,Absent,Absent,Absent
14937_6#26,NHEC0057,ERR775907,ERS575967,5132284,108,47521.15,418454,179593,10,95.4,84.18,P12,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,Absent,Absent,Absent,Absent,Present,Present,Absent,Present,Absent,Absent,Absent
14937_6#3,NHEC0031,ERR775884,ERS575919,5144526,96,53588.81,747688,208411,8,95.5,95.17,P12,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,Absent,Absent,Absent,Absent,Present,Present,Absent,Present,Absent,Absent,Absent
14937_6#30,NHEC0063,ERR775911,ERS575975,5212248,107,48712.6,648117,192309,8,90,79.52,P22,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent
14937_6#32,NHEC0065,ERR775913,ERS575979,5144104,91,56528.62,685012,196262,8,94.7,86.2,P12,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,Absent,Absent,Absent,Absent,Present,Present,Absent,Present,Absent,Absent,Absent
14937_6#34,NHEC0067,ERR775915,ERS575983,5223339,112,46636.96,531061,319706,7,90.2,74.73,P22,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent
14937_6#36,NHEC0069,ERR775917,ERS575987,5142714,101,50917.96,637342,179604,9,95.4,80.24,P12,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,Absent,Absent,Absent,Absent,Present,Present,Absent,Present,Absent,Absent,Absent
14937_6#37,NHEC0071,ERR775918,ERS575989,5083784,63,80694.98,905909,302205,5,93.1,83.74,P19,2014,East England,LTCF,Stool,1a1AB,1aAB,H30R,C1,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present
14937_6#40,NHEC0073,ERR775921,ERS575995,5214433,106,49192.76,512259,192310,8,89.8,83.41,P22,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
14937_6#43,NHEC0080,ERR775924,ERS576001,5140400,100,51404,399006,204979,9,95.9,87.5,P12,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,Absent,Absent,Absent,Absent,Present,Present,Absent,Present,Absent,Absent,Absent
14937_6#46,NHEC0086,ERR775927,ERS576004,5084521,66,77038.2,881230,276965,6,93.2,85.95,P19,2014,East England,LTCF,Stool,1a1AB,1aAB,H30R,C1,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present
14937_6#47,NHEC0087,ERR775928,ERS576005,5144482,103,49946.43,794962,191230,8,95.4,87.19,P12,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,Absent,Absent,Absent,Absent,Present,Present,Absent,Present,Absent,Absent,Absent
14937_6#51,NHEC0091,ERR775932,ERS576009,5140539,103,49908.15,426855,176455,10,95.3,92.43,P12,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,Absent,Absent,Absent,Absent,Present,Present,Absent,Present,Absent,Absent,Absent
14937_6#52,NHEC0092,ERR775933,ERS576010,5103264,90,56702.93,477630,180855,10,91.7,84.33,P9,2014,East England,LTCF,Stool,1a1AB,1aAB,H30R,C1,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
14937_6#54,NHEC0094,ERR775935,ERS576012,5127268,71,72215.04,390130,242715,8,91.5,86.9,P42,2014,East England,LTCF,Stool,1a1AB,1aAB,H30R,C1,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
14937_6#6,NHEC0046,ERR775887,ERS575925,5146387,110,46785.34,546707,203169,8,94.4,92.34,P12,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,Absent,Absent,Absent,Absent,Present,Present,Absent,Present,Absent,Absent,Absent
14937_6#61,NHEC0127,ERR775942,ERS576019,5091507,69,73789.96,789831,212719,8,91.5,87.54,P16,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent
14937_6#68,NHEC0099,ERR775949,ERS575872,5082924,70,72613.2,624437,300854,7,92.5,86.86,P19,2014,East England,LTCF,Stool,1a1AB,1aAB,H30R,C1,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present
14937_6#7,NHEC0045,ERR775888,ERS575927,5086286,97,52435.94,711908,191278,7,93.6,92.57,P10,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent
14937_6#70,NHEC0101,ERR775951,ERS575876,5141770,106,48507.26,674020,213201,8,96,86.63,P12,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,Absent,Absent,Absent,Absent,Present,Present,Absent,Absent,Absent,Absent,Absent
14937_6#71,NHEC0102,ERR775952,ERS575878,5098048,76,67079.58,620021,221588,8,88.6,71.43,P42,2014,East England,LTCF,Stool,1a1AB,1aAB,H30R,C1,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
14937_6#76,NHEC0110,ERR775957,ERS575887,5081796,78,65151.23,623350,276868,7,90.1,87.28,P19,2014,East England,LTCF,Stool,1a1AB,1aAB,H30R,C1,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present
14937_6#83,NHEC0119,ERR775964,ERS575901,5141060,113,45496.11,715621,191237,8,95.9,92.3,P12,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,Absent,Absent,Absent,Absent,Present,Present,Absent,Present,Absent,Absent,Absent
14937_6#84,NHEC0120,ERR775965,ERS575903,5126954,63,81380.22,716460,302196,6,89,93.97,P42,2014,East England,LTCF,Stool,1a1AB,1aAB,H30R,C1,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
14937_6#85,NHEC0121,ERR775966,ERS575905,5083806,85,59809.48,619759,242729,7,91.2,84.67,P19,2014,East England,LTCF,Stool,1a1AB,1aAB,H30R,C1,Absent,Absent,Present,Absent,Present,Present,Present,Present,Present,Present,Present
14937_7#56,NHEC0159,ERR776023,ERS576291,5204917,67,77685.33,746073,266237,7,91.4,88.37,P15,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,Absent,Present,Absent,Present,Present,Present,Absent,Present,Absent,Absent,Absent
14937_7#57,NHEC0158,ERR776024,ERS576292,5204657,70,74352.24,750374,319692,6,91.7,91.71,P15,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,Absent,Present,Absent,Present,Present,Present,Absent,Present,Absent,Absent,Absent
14937_7#61,NHEC0002,ERR776028,ERS575865,5141979,112,45910.53,488012,191195,9,94.5,87.89,P12,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,Absent,Absent,Absent,Absent,Present,Present,Absent,Present,Absent,Absent,Absent
14937_7#66,NHEC0009,ERR776033,ERS575871,5106387,70,72948.39,516512,313940,7,91.9,83.3,P16,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,Absent,Present,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
14937_7#67,NHEC0010,ERR776034,ERS575873,5082578,94,54069.98,712592,209373,7,93.7,88.72,P10,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,Absent,Absent,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent
14937_7#68,NHEC0011,ERR776035,ERS575875,5146594,100,51465.94,488072,207204,8,94.5,89.14,P12,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,Absent,Absent,Absent,Absent,Present,Present,Absent,Present,Absent,Absent,Absent
14937_7#80,NHEC0023,ERR776047,ERS575900,5147359,95,54182.73,710728,195934,8,95.3,97.15,P12,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,Absent,Absent,Absent,Absent,Present,Present,Absent,Present,Absent,Absent,Absent
14937_7#83,NHEC0027,ERR776050,ERS575907,5149858,95,54209.03,716610,200803,8,95.2,91.59,P12,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,Absent,Absent,Absent,Absent,Present,Present,Absent,Present,Absent,Absent,Absent
14937_7#84,NHEC0028,ERR776051,ERS575909,5076696,95,53438.91,981537,191215,7,93.7,84.42,P10,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,Absent,Absent,Absent,Absent,Present,Present,Absent,Absent,Absent,Absent,Absent
14937_8#10,NHEC0136,ERR776060,ERS575926,5139804,104,49421.19,401984,180686,10,95.2,76.35,P12,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent
14937_8#12,NHEC0138,ERR776062,ERS575930,5127853,63,81394.49,714229,335984,5,88.4,78.09,P42,2014,East England,LTCF,Stool,1a1AB,1aAB,H30R,C1,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
14937_8#16,NHEC0143,ERR776066,ERS575938,5101478,97,52592.56,449079,183048,10,91.8,98.11,P9,2014,East England,LTCF,Stool,1a1AB,1aAB,H30R,C1,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
14937_8#20,NHEC0147,ERR776070,ERS575945,5129353,60,85489.22,717009,338801,6,87.7,75.34,P42,2014,East England,LTCF,Stool,1a1AB,1aAB,H30R,C1,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
14937_8#24,NHEC0152,ERR776074,ERS575953,5132146,113,45417.22,470556,165462,10,95.4,90.22,P12,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
14937_8#33,NHEC0061,ERR776083,ERS575972,5130330,106,48399.34,416500,228511,8,95.3,81.27,P12,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,Absent,Absent,Absent,Absent,Present,Present,Absent,Present,Absent,Absent,Absent
14937_8#38,NHEC0062,ERR776088,ERS575984,5124625,106,48345.52,516236,171404,10,94.9,82.62,P19,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,Absent,Absent,Absent,Absent,Present,Absent,Absent,Present,Absent,Absent,Absent
14937_8#6,NHEC0130,ERR776059,ERS575918,5140622,87,59087.61,710389,228523,7,94.8,108.59,P12,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,Absent,Absent,Absent,Absent,Present,Present,Absent,Present,Absent,Absent,Absent
15056_4#86,NHEC0107,ERR830645,ERS576289,5087721,87,58479.55,717361,202031,7,96.1,100.35,P10,2014,East England,LTCF,Stool,1a1AB,1aAB,H30Rx,C2,Absent,Absent,Absent,Absent,Present,Present,Present,Present,Absent,Absent,Absent
11657_5#7,ECO0140,ERR434265,ERS356879,5145693,64,80401.45,757624,280898,5,95.5,76.15,ADH043,2009,East England,Cambridgeshire,Blood,1a1AB,1aAB,H30Rx,C2,Absent,Absent,Present,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent
11657_5#11,ECO0205,ERR434269,ERS356935,5271772,91,57931.56,624497,218162,8,84.6,60.69,ADH036,2010,East England,Cambridgeshire,Blood,1a1AB,1aAB,H30Rx,C2,Absent,Absent,Present,Absent,Present,Present,Absent,Present,Absent,Absent,Absent
11657_5#13,ECO0211,ERR434271,ERS356941,5180468,72,71950.94,553765,172543,10,95.9,73.43,ADH020,2010,East England,Cambridgeshire,Blood,1a1AB,1aAB,H30Rx,C2,Absent,Absent,Present,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent
11657_5#22,ECO0395,ERR434280,ERS357117,5154505,71,72598.66,385192,208107,9,97.4,75.61,ADH040,2012,East England,Cambridgeshire,Blood,1a1AB,1aAB,H30Rx,C2,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
11657_5#24,ECO0420,ERR434282,ERS357141,5220828,73,71518.19,683378,229902,8,97.1,77.34,ADH088,2012,East England,Cambridgeshire,Blood,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
11657_5#46,ECO0798,ERR434304,ERS357519,5055819,59,85691.85,603201,237388,7,92,77.14,BSAC,2004,West Midlands,UK,Blood,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
11657_5#61,ECO1161,ERR434319,ERS357739,5290847,112,47239.71,711165,203947,7,95.8,67.35,BSAC,2008,Midlands,UK,Blood,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Absent,Present,Present,Present,Present,Present,Absent,Absent,Absent
11657_5#80,ECO1393,ERR434338,ERS358005,5127712,57,89959.86,711380,342046,5,98.4,74.86,BSAC,2010,South East,UK,Blood,1a1AB,1aAB,H30Rx,C2,Absent,Absent,Present,Absent,Present,Present,Absent,Absent,Absent,Absent,Absent
11657_5#89,ECO1456,ERR434347,ERS358073,5364155,113,47470.4,609454,190956,8,77.8,62.06,BSAC,2011,Midlands,UK,Blood,1a1AB,1aAB,H30Rx,C2,CTX-M-15,Present,Present,Present,Absent,Present,Absent,Present,Absent,Absent,Absent
11657_5#92,ECO1486,ERR434350,ERS358096,5138724,61,84241.38,619924,328158,7,97.1,87.7,BSAC,2011,North East,UK,Blood,1a1A,1a,H30,C0,Absent,Absent,Present,Absent,Present,Present,Absent,Present,Absent,Absent,Absent
11657_5#94,ECO1191,ERR434352,ERS358166,5268562,47,112097.06,977306,377803,5,90,76.44,BSAC,2008,North East,UK,Blood,FQR-S,FQR-S,H17,Non-C,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
11657_6#7,ECO0201,ERR434361,ERS356931,4798385,49,97926.22,664688,294300,6,97.4,83.72,ADH005,2010,East England,Cambridgeshire,Blood,1a,1b,H6,Non-C,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
11657_6#11,ECO0222,ERR434365,ERS356950,5150318,71,72539.69,472867,191430,10,95.4,82.22,ADH054,2010,East England,Cambridgeshire,Blood,FQR-S,FQR-S,H1,Non-C,Absent,Absent,Present,Absent,Present,Absent,Absent,Present,Absent,Absent,Absent
11657_6#14,ECO0237,ERR434368,ERS356965,5238792,75,69850.56,1023733,229924,6,91.5,71.58,ADH025,2010,East England,Cambridgeshire,Blood,1a1AB,1aAB,H30Rx,C2,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Present,Present,Absent
